setor;cave;bacia;hidro;umidade;distancia;temperatura;d.subs;d.abrigo;d.alimento;Shelter.Av.;Trophic.Av.;GU;FZ;CRC;DTV;TM;ST;DP;FG;ACT;OTO;RC;XB;MB;SB;CB;CAG;CAF;ARE;SEF;HP;ES;ESR;ESC;BM;GRR;COG
S1 ;Padre;SF;Dis;83.8;20;22;1.394901994;1.368347561;0;108.6;0.6;0;0;0;0.6;0;0;0;0;0;0;0;0;30;30;30;18.6;0;0;0;0;0;0;0;0;0;0
S2 ;Padre;SF;Dis;89.6;140;21.8;1.039927586;0.77183111;0;93;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;17;5;2;0;0;3;69;0;0;0;0;0
S3 ;Padre;SF;Dis;94;190;22.7;0.861779919;0;0;22;12;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;22;0;0
S4 ;Padre;SF;Dis;92;190;22.4;0.977595215;0.349475202;0;71.8;4.2;0;0;0;4.2;0;0;0;0;0;0;0;0;0;0;8;0;0;8;0;5;63.8;0;0;0;0;0
S5;Padre;SF;Dis;94.3;260;24.6;1.138504581;1.041131517;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;4.5;6;1;55;31;0;0;0;0;0;0
S6 ;Padre;SF;Dis;90;320;24.8;1.549385783;1.000182839;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;10;34;19;22;0;0;0;0;0;0;0
S7 ;Padre;SF;Dis;92;370;23.9;0.796757855;1.086050199;0;21.8;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;7;6;0;74;0;0;0;0;0;0;0
S8;Padre;SF;Dis;89.5;410;25.3;1.840570209;1.367977551;0;48.5;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;13.5;11;9;11.5;32;8;15;0;0;0;0;0
S9;Padre;SF;Dis;93.7;440;25.7;1.019746954;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;34;51;0;0;0;0;0;0
S10;Padre;SF;Dis;95.3;440;25.6;1.391232831;0.819461076;0;54;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;29;2;23;8;37;0;0;0;0;0;0;0
S11;Padre;SF;Dis;94.5;480;26.1;1.067546256;1.060098682;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;66;0;19;0;0;9;0;0
S12;Padre;SF;Dis;93.6;240;23.5;0.540105472;0;0;19;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;19;0;0
S13;Padre;SF;Dis;90.4;220;24;1.159649205;0;0.501046914;14;10.5;1;0;0;9.5;0;0;0;0;0;0;0;0;0;0;0;0;14;15;59.5;0;0;0;0;0;0;0
S14 ;Padre;SF;Dis;94.8;420;25;0.390538263;0;0;0.2;7.3;0;0;0;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;90;0;0.2;0;0;0;0;0
S15 ;Padre;SF;Dis;95.5;520;24.6;0.325082973;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;10;0;0
S16;Padre;SF;Dis;97.4;580;25;0.684536073;0.677494404;0;8.5;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0;3.5;0;5;0;80.5;0;0;0;0;0;0;0
S17;Padre;SF;Dis;95.8;680;25.7;0.649354448;0;0;4;6.5;0;0;0;6.5;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;66;0;0;0;0;4;0;0
S18;Padre;SF;Dis;96.5;780;25.5;0.449340026;0;0;1;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;5;89;0;0;0;0;0;0;0
S19;Padre;SF;Dis;97.5;880;25.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0
S20 ;Padre;SF;Dis;97.5;1080;22.5;0.654087677;0.768426265;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;2;0;0;80;0;0;0;0;3.5;0;0
S21 ;Padre;SF;Dis;97.5;1180;25.2;1.401786884;1.353912896;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;14;10;0;0;49;0;11;0;0;0;0;0
S22;Padre;SF;Dis;99.7;2570;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.5;0;0;0;0;0;0;0
S23 ;Padre;SF;Dis;96.8;2630;25.7;1.172575866;1.049200233;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;17;0;54;0;20;0;0;0;0;0
S24 ;Padre;SF;Dis;99.8;2660;26.5;0.722851356;0.082995141;0;30.8;1.7;0;0;0;1.7;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;67.5;0;0;0;0;30.3;0;0
S25 ;Padre;SF;Dis;97.1;2675;25.6;1.282597439;0.692781906;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;19;16;45;0;0;0;0;0;0;0
S26 ;Padre;SF;Dis;99.8;2755;26;0.084766076;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;59;0;0;0;0;0;0;0
S27 ;Padre;SF;Dis;97.3;2805;25.6;0.987499178;0.824659324;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;0;30;0;0;0;0;4;0;0
S28 ;Padre;SF;Dis;99.7;2955;26.4;0.636514168;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;30;0;0
S29 ;Padre;SF;Dis;97.7;3075;25.6;1.382245942;1.070518758;0;71.5;0.4;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;20;32;19.5;0;29.5;0;0;0;0;0;0;0
S30 ;Padre;SF;Dis;99.8;3195;26.1;1.232109231;1.001544878;0;42;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;23;10;9;0;38;0;0;0;0;0;0;0
S31 ;Padre;SF;Dis;98.4;3395;25.6;1.444549283;0.922703332;0;50;4.7;0;0;0;4.7;0;0;0;0;0;0;0;0;0;0;31;11;8;4.5;43;0;0;0;0;0;0;0
S32 ;Padre;SF;Dis;99.9;3645;25.8;0.896431095;0.79631164;0;28;2;0;0;0;2;0;0;0;0;0;0;0;0;0;20;4;4;0;0;72;0;0;0;0;0;0;0
S33 ;Padre;SF;Dis;98.7;3695;23.6;1.002331385;1.173318523;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;9;1;0;0;68;8;0;0;0;0;0
S34 ;Padre;SF;Dis;99.9;3695;25.9;0.63903186;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;10;80;0;0;0;0;0;0;0
S35 ;Padre;SF;Dis;99.8;3905;26;0.549587061;0.562335145;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;9;0;0;0;81;0;2;0;0;0;0;0
S36;Padre;SF;Dis;99.9;3955;25.6;0.589276919;0.887694276;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;1;2.5;0;85;0;0;0;0;0;0
S37 ;Padre;SF;Dis;99.9;4125;26.3;0.943348392;0.450561209;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;10;0;0;0;40;0;0;0;0;0;0
S38;Padre;SF;Dis;100;3770;26;0.496362158;0.673011667;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;72;0;5;0;0;0;0;0
S39 ;Padre;SF;Dis;99.8;3645;26.3;0.974931399;0.900908873;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;70;12;11;0;0;0;0;0
S40 ;Padre;SF;Dis;100;3265;25.4;0.800045853;1.054920168;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;10;10;0;80;0;0;0;0;0;0;0
S41 ;Padre;SF;Dis;99.8;3215;26.8;1.088899975;0.73562194;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;10;10;0;20;0;0;0;0;0;0;0
S42 ;Padre;SF;Dis;71.6;30;24.8;1.609479974;0.919694076;0;49;4;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;1;13;23;24;0;34;0;0;0;0;0
S43 ;Padre;SF;Dis;83.5;85;24;1.684156893;1.383316858;0;58;7;0;0;0;7;0;0;0;0;0;0;0;0;0;0;14;13;15;33;0;0;16;0;0;0;0;0
S44 ;Padre;SF;Dis;68.2;85;25.1;0.636456856;0.351694725;0;93;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;8;0;1;1;0;84;0;0;0;0;0
S45 ;Padre;SF;Dis;94.3;30;24.1;1.59501975;1.062808042;0;39;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;18;10;11;42;18;0;0;0;0;0;0;0
S46 ;Padre;SF;Dis;79.8;50;24.1;1.295047176;1.015858303;0.500402424;55.5;2.5;0;0;0;2.5;0;0;0;0;0;0;0;0;0;35;10.5;7.5;2.5;2.5;0;0;0;0;0;0;0;0
S47 ;Padre;SF;Dis;97.7;75;25.3;1.545435465;1.277034259;0;70;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;20;30;30;0;0;10;0;0;0;0;0
S48;Padre;SF;Dis;95.4;3745;25.5;1.487801111;1.010412754;0;40;0.2;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;6;18;16;23.8;37;0;0;0;0;0;0;0
S49 ;Padre;SF;Dis;99.3;3795;25.2;1.31548628;0.919081458;0;35;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;14;18;3;55;6;0;0;0;0;0;0;0
S50 ;Padre;SF;Dis;99.5;3915;25;0.357591271;0.325082973;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;90;0;0;0;0;9;0;0
S51 ;Padre;SF;Dis;95.2;4025;25.1;0.693147181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0
S52;Padre;SF;Dis;97.1;4145;24.9;0.841521601;0.438640292;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;19;0;0;0;0;70;0;0
S53;Padre;SF;Dis;99.6;4245;25.3;0.930793474;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;54;;36;;0;0
S01;Escrevida;SF;Dis;91.6;26;22.1;0.728666642;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;26;70;0;0;0;0;0
S02;Escrevida;SF;Dis;82.2;53;25.6;0.916542562;0.523586337;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;8;69;0;18;0;0;0;0;0
