Sector;Cave;Basin;Hidro;Distance;Subs.Div.;Shelter.Div.;Trophic.Div.;Shelter.Av.;Trophic.Av.;GU;FZ;CRC;DTV;TM;ST;WP;DP;CR;FG;AL;BF;ACT;BAM;OTO;RL;RR;RC;XB;MB;SB;CB;CAG;CAF;ARE;SEF;HP;ES;ESC;GRR;BM
S1Q1 ;Padre;SF;Dis;15;0.744261968;0.744261968;0;10000;0;;;;0;;;;;;;;;;;;;;;;;4486.2;5397.45;;116.35;;;;0;;;
S1Q2 ;Padre;SF;Dis;20;0.516528552;0.516528552;0;10000;0;;;;0;;;;;;;;;;;;;;;8085.29;;;;64.41;1850.3;;;;0;;;
S1Q3 ;Padre;SF;Dis;25;1.367097561;1.239347042;0;9550;450;;;;450;;;;;;;;;;;;;;;;;1742.58;2204.65;4587.38;1015.39;;;;0;;;
S2Q1 ;Padre;SF;Dis;135;1.211580656;1.167251638;0;9900;0;;;;0;;;;;;;;;;;;;;;;1198.95;2478.1;5385.82;;765;;;100;0;;72.13;
S2Q2 ;Padre;SF;Dis;140;0;0;0;0;0;;;;0;;;;;;;;;;;;;10000;;;;;;;;;;;0;;;
S2Q3 ;Padre;SF;Dis;145;0;0;0;0;0;;;;0;;;;;;;;;;;;;10000;;;;;;;;;;;0;;;
S3Q1 ;Padre;SF;Dis;185;0.911730158;0;0.567300484;0;4124.6;;;;4124.6;;;;;;;;;;;;;;;;;;;;;;5875.4;;0;;;
S3Q2 ;Padre;SF;Dis;190;0.325104945;0;0;0;1000.1;;;;1000.1;;;;;;;;;;;;;;;;;;;;;;8999.9;;0;;;
S3Q3 ;Padre;SF;Dis;195;0.139918266;0;0;0;315;;;;315;;;;;;;;;;;;;;;;;;;;;;9685;;0;;;
S4Q1 ;Padre;SF;Dis;185;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;10000;;
S4Q2 ;Padre;SF;Dis;190;0.60289947;0.451984881;0;2066.57;0;;;;0;;;;;;;;;;;;;7933.43;;;1720.31;346.26;;;;;;;0;;;
S4Q3 ;Padre;SF;Dis;195;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;10000;;
S5Q1 ;Padre;SF;Dis;255;0.54374421;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;2337.3;7662.7;;0;;;
