Sector;Cave;x;y
S1Q1 ;Padre;601335.354;8538746.564
S1Q2 ;Padre;601340.272;8538747.466
S1Q3 ;Padre;601345.19;8538748.369
S2Q1 ;Padre;601247.127;8538654.89
S2Q2 ;Padre;601251.881;8538656.441
S2Q3 ;Padre;601256.634;8538657.992
S3Q1 ;Padre;601216.964;8538688.531
S3Q2 ;Padre;601221.717;8538690.082
S3Q3 ;Padre;601226.471;8538691.633
S4Q1 ;Padre;601216.608;8538640.823
S4Q2 ;Padre;601221.537;8538641.662
S4Q3 ;Padre;601226.466;8538642.5
S5Q1 ;Padre;601198.21;8538689.769
S5Q2 ;Padre;601203.14;8538690.608
S5Q3 ;Padre;601208.069;8538691.447
S6Q1 ;Padre;601182.854;8538731.821
S6Q2 ;Padre;601178.388;8538734.07
S6Q3 ;Padre;601173.923;8538736.319
S7Q1 ;Padre;601156.813;8538744.518
S7Q2 ;Padre;601152.584;8538747.186
S7Q3 ;Padre;601148.356;8538749.854
S8Q1 ;Padre;601135.282;8538761.442
S8Q2;Padre;601130.282;8538761.377
S8Q3;Padre;601125.283;8538761.311
S9Q1;Padre;601101.727;8538765.72
S9Q2;Padre;601103.704;8538761.127
S9Q3;Padre;601105.681;8538756.534
S10Q1 ;Padre;601121.521;8538730.318
S10Q2;Padre;601116.561;8538730.948
S10Q3;Padre;601111.601;8538731.577
S11Q1 ;Padre;601082.654;8538738.235
S11Q2 ;Padre;601086.371;8538734.891
S11Q3;Padre;601090.089;8538731.548
S12Q1;Padre;601225.386;8538605.309
S12Q2;Padre;601230.312;8538604.449
S12Q3;Padre;601235.237;8538603.589
S13Q1 ;Padre;601301.233;8538587.001
S13Q2;Padre;601303.697;8538591.352
S13Q3;Padre;601306.16;8538595.703
S14Q1 ;Padre;601369.891;8538711.636
S14Q2 ;Padre;601374.015;8538714.462
S14Q3 ;Padre;601378.14;8538717.289
S15Q1 ;Padre;601470.413;8538780.956
S15Q2 ;Padre;601474.945;8538783.069
S15Q3 ;Padre;601479.476;8538785.183
S16Q1 ;Padre;601533.231;8538811.063
S16Q2 ;Padre;601538.091;8538812.239
S16Q3 ;Padre;601542.95;8538813.415
S17Q1 ;Padre;601604.61;8538827.856
S17Q2 ;Padre;601609.421;8538829.218
S17Q3 ;Padre;601614.232;8538830.58
S18Q1 ;Padre;601660.832;8538841.851
S18Q2 ;Padre;601664.935;8538844.709
S18Q3 ;Padre;601669.037;8538847.567
S19Q1 ;Padre;601731.317;8538893.01
S19Q2 ;Padre;601736.224;8538893.968
S19Q3 ;Padre;601741.131;8538894.926
S20Q1 ;Padre;601914.459;8538924.74
S20Q2 ;Padre;601917.558;8538928.664
S20Q3 ;Padre;601920.657;8538932.588
S21Q1 ;Padre;601963.045;8538981.252
S21Q2 ;Padre;601958.258;8538979.807
S21Q3 ;Padre;601953.471;8538978.362
S22Q1 ;Padre;599513.121;8538249.283
S22Q2 ;Padre;599508.207;8538250.203
S22Q3 ;Padre;599503.292;8538251.123
S23Q1 ;Padre;599459.054;8538254.688
S23Q2 ;Padre;599458.637;8538259.671
S23Q3 ;Padre;599458.22;8538264.653
S24Q1 ;Padre;599460.035;8538289.148
S24Q2 ;Padre;599456.566;8538285.547
S24Q3 ;Padre;599453.097;8538281.946
S25Q1 ;Padre;599432.663;8538257.6
S25Q2 ;Padre;599427.918;8538256.024
S25Q3 ;Padre;599423.173;8538254.448
S26Q1 ;Padre;599370.32;8538238.111
S26Q2 ;Padre;599365.946;8538235.689
S26Q3 ;Padre;599361.572;8538233.266
S27Q1 ;Padre;599342.403;8538222.583
S27Q2 ;Padre;599337.947;8538220.315
S27Q3 ;Padre;599333.491;8538218.047
S28Q1 ;Padre;599224.514;8538162.979
S28Q2 ;Padre;599220.001;8538160.828
S28Q3 ;Padre;599215.487;8538158.678
S29Q1 ;Padre;599145.854;8538126.118
S29Q2 ;Padre;599141.451;8538123.75
S29Q3 ;Padre;599137.047;8538121.381
S30Q1 ;Padre;599068.557;8538084.575
S30Q2 ;Padre;599064.023;8538082.466
S30Q3 ;Padre;599059.49;8538080.357
S31Q1 ;Padre;598881.236;8537997.476
S31Q2 ;Padre;598876.448;8537996.037
S31Q3 ;Padre;598871.659;8537994.598
S32Q1 ;Padre;598746.179;8537956.525
S32Q2 ;Padre;598741.214;8537955.938
S32Q3 ;Padre;598736.248;8537955.35
S33Q1 ;Padre;598663.787;8537942.627
S33Q2 ;Padre;598665.625;8537947.277
S33Q3 ;Padre;598667.462;8537951.927
S34Q1 ;Padre;598706.907;8538037.229
S34Q2 ;Padre;598702.122;8538038.681
S34Q3 ;Padre;598697.338;8538040.133
S35Q1 ;Padre;598611.859;8538070.664
S35Q2 ;Padre;598607.865;8538067.657
S35Q3 ;Padre;598603.87;8538064.651
S36Q1 ;Padre;598585.03;8538049.529
S36Q2 ;Padre;598580.57;8538047.269
S36Q3;Padre;598576.11;8538045.009
S37Q1 ;Padre;598459.685;8537988.006
S37Q2 ;Padre;598464.58;8537989.025
S37Q3 ;Padre;598469.475;8537990.044
S38Q1 ;Padre;598641.862;8538027.622
S38Q2 ;Padre;598646.669;8538026.245
S38Q3 ;Padre;598651.475;8538024.869
S39Q1 ;Padre;598705.542;8538006.681
S39Q2 ;Padre;598710.429;8538007.735
S39Q3 ;Padre;598715.317;8538008.79
S40Q1 ;Padre;598927.198;8538052.342
S40Q2 ;Padre;598931.649;8538054.619
S40Q3 ;Padre;598936.101;8538056.896
S41Q1 ;Padre;598980.26;8538079.86
S41Q2 ;Padre;598984.934;8538081.636
S41Q3 ;Padre;598989.608;8538083.413
S42Q1 ;Padre;602848.454;8539539.198
S42Q2 ;Padre;602850.193;8539534.51
S42Q3 ;Padre;602851.932;8539529.822
S43Q1 ;Padre;602857.255;8539523.821
S43Q2 ;Padre;602855.874;8539519.015
S43Q3 ;Padre;602854.494;8539514.21
S44Q1 ;Padre;602853.922;8539502.23
S44Q2 ;Padre;602850.058;8539499.057
S44Q3 ;Padre;602846.195;8539495.883
S45Q1 ;Padre;602838.908;8539484.28
S45Q2 ;Padre;602837.951;8539489.188
S45Q3 ;Padre;602836.995;8539494.096
S46Q1 ;Padre;602832.146;8539544.139
S46Q2 ;Padre;602827.993;8539541.354
S46Q3 ;Padre;602823.84;8539538.57
S47Q1;Padre;602812.438;8539529.722
S47Q2 ;Padre;602807.778;8539527.911
S47Q3 ;Padre;602803.117;8539526.099
S48Q1;Padre;598598.406;8537915.386
S48Q2 ;Padre;598598.958;8537910.417
S48Q3 ;Padre;598599.51;8537905.447
S49Q1 ;Padre;598603.203;8537856.681
S49Q2 ;Padre;598605.222;8537852.107
S49Q3 ;Padre;598607.24;8537847.532
S50Q1 ;Padre;598638.013;8537777.981
S50Q2 ;Padre;598639.669;8537773.264
S50Q3 ;Padre;598641.325;8537768.546
S51Q1 ;Padre;598673.168;8537675.397
S51Q2 ;Padre;598675.207;8537670.832
S51Q3 ;Padre;598677.246;8537666.267
